date,category,event_name,region,symbol,theme,functional_3d_print_ideas,research_notes
2026-09-04,Religious Observance,Krishna Janmashtami,Hinduism,🪔,Religious,Diya tray; sweet offering bowl stand; rangoli stencil guide,Functional puja accessories.
2026-09-08 to 2026-09-15,Religious Observance,Paryushana,Jainism,🪷,Religious,Reading stand; small offering tray; bead organizer,Simple and respectful support items.
2026-09-11 to 2026-09-13,Religious Observance,Rosh Hashanah,Judaism,🍎,Religious,Honey dipper rest; round challah cover ring; apple slice tray,Meal-table accessories fit naturally.
2026-09-14,Religious Observance,Ganesh Chaturthi,Hinduism,🐘,Religious,Modak tray; incense holder; compact altar shelf risers,Ceremonial support without figurines.
2026-09-20 to 2026-09-21,Religious Observance,Yom Kippur,Judaism,📖,Religious,Book stand; memorial candle holder; shoe storage tag set,Practical observance support.
2026-09-22,Religious Observance,Mabon / Autumn Equinox,Wicca,🍂,Seasonal spiritual,Herb drying ring; tea-light sleeve; harvest basket divider,Seasonal altar and harvest utility.
2026-09-25 to 2026-10-02,Religious Observance,Sukkot,Judaism,🌿,Religious,Clip-on lantern hook; table card holders; citrus display bowl insert,Outdoor meal/ritual support objects.
2026-10-02 to 2026-10-04,Religious Observance,Shemini Atzeret / Simchat Torah,Judaism,📜,Religious,Scroll-style pointer rest; book stand; festive table token holder,Reading and table utility.
2026-10-20,Religious Observance,Dussehra,Hinduism,🏹,Religious,Festival sweet-box organizer; diya rack; gift tag template,Festival hosting accessories.
2026-11-01,Religious Observance,All Saints’ Day,Christianity,🕯️,Religious,Photo stand; memorial lantern sleeve; flower stem comb,Shared use with Mexico observance items.
2026-11-08,Religious Observance,Diwali / Deepavali,Hinduism/Jainism/Sikhism,🪔,Religious / festival,Tea-light array tray; diya drying rack; rangoli stencil plates,One of the strongest functional-print opportunities.
2026-11-24,Religious Observance,Guru Nanak Dev Jayanti,Sikhism,🪯,Religious,Prashad bowl stand; shoe token tray; card stand,Community-serving accessories.
2026-12-04 to 2026-12-12,Religious Observance,Hanukkah,Judaism,🕎,Religious / festival,Dreidel organizer; candle drip tray; latke cooling rack feet,Functional holiday table items.
2026-12-08,Religious Observance,Bodhi Day,Buddhism,🌳,Religious,Meditation timer stand; incense tray; tea set coaster ring,Quiet-use objects.
2026-12-21,Religious Observance,Yule / Winter Solstice,Wicca,❄️,Seasonal spiritual,Candle wreath base; herb rack; solstice tea organizer,"Seasonal use, non-figurative."
2026-12-25,Religious Observance,Christmas,Christianity,✝️,Religious / festival,Nativity accessory storage tray; candle plate; ornament divider,Practical holiday support.
2026-07-10,Cannabis Event,Cannabis & Comedy,Los Angeles / Cypress Park,🌿,Cannabis / entertainment,Smell-proof stash insert tray; pre-roll tube rack; lighter dock; rolling tray corner bins,"Consumer event; focus on carry, storage, and session organization."
2026-09-TBD,Cannabis Event,Kushstock Festival,"Adelanto, San Bernardino County",🔥,Cannabis / festival,Festival stash caddy; pocket ashtray shell; strain token organizer; hydration clip,Closest large SoCal legacy-style festival mentioned in sources.
2026-11-11,Cannabis Event,High Times Harvest Cup SoCal,San Bernardino,🏆,Cannabis / competition,Jar display risers; terpene sample stand; grinder dock; humidity-pack organizer,Strong local anchor for branded or competition-inspired utility prints.
2026-03 (reference only),Cannabis Event,Hall of Flowers Ventura,Ventura,🌊,Cannabis / trade,Retail display risers; SKU divider clips; product pod stands,Important design-language reference even though it is earlier in year.
